epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6706,2.6275,9.07217,2.3337,0.0815,0.25212,0.05312,0.01951,2.30479,5.59043,2.17929,1.652e-05,1.652e-05,1.652e-05
2,38.3876,2.28943,5.29201,2.05741,0.12847,0.36544,0.10689,0.03881,1.96765,11.7848,1.83183,3.35424e-05,3.35424e-05,3.35424e-05
3,48.7757,1.87351,3.99234,1.77206,0.13477,0.37677,0.12596,0.04703,1.82045,6.32717,1.72929,4.9864e-05,4.9864e-05,4.9864e-05
4,60.0875,1.63796,3.10793,1.58763,0.17512,0.48725,0.17629,0.08282,1.45629,3.12265,1.54179,6.54846e-05,6.54846e-05,6.54846e-05
5,67.7422,1.56494,2.75651,1.55977,0.26209,0.51275,0.26507,0.12524,1.40689,2.36549,1.5098,8.04043e-05,8.04043e-05,8.04043e-05
6,78.5372,1.39651,2.48201,1.44815,0.2817,0.54958,0.29745,0.15038,1.32429,2.00849,1.44639,9.4623e-05,9.4623e-05,9.4623e-05
7,86.1166,1.34084,2.36277,1.41614,0.31589,0.59207,0.35581,0.20109,1.30758,1.81854,1.39894,0.000103982,0.000103982,0.000103982
8,96.4386,1.26968,2.2214,1.36321,0.35026,0.52125,0.38928,0.2708,1.1017,1.64127,1.30494,0.000101645,0.000101645,0.000101645
9,104.379,1.20801,2.07598,1.3552,0.38881,0.6034,0.42619,0.27988,1.20083,1.56769,1.33338,9.93088e-05,9.93088e-05,9.93088e-05
10,114.04,1.16322,2.06566,1.33137,0.40585,0.56941,0.44005,0.31003,1.08304,1.50772,1.28297,9.69724e-05,9.69724e-05,9.69724e-05
11,122.344,1.08172,1.97988,1.30154,0.40257,0.63567,0.45678,0.30007,1.10676,1.52499,1.2803,9.4636e-05,9.4636e-05,9.4636e-05
12,131.072,1.11631,1.93519,1.30733,0.43427,0.57507,0.49558,0.36806,0.97885,1.44876,1.25582,9.22996e-05,9.22996e-05,9.22996e-05
13,140.088,1.04987,1.83457,1.26834,0.4637,0.6099,0.52495,0.38845,0.94938,1.43318,1.21148,8.99632e-05,8.99632e-05,8.99632e-05
14,150.699,1.07816,1.75787,1.26121,0.52882,0.57507,0.55416,0.38938,1.03157,1.39452,1.23268,8.76268e-05,8.76268e-05,8.76268e-05
15,161.327,1.07699,1.74602,1.28507,0.50133,0.64933,0.60745,0.44977,0.97153,1.32275,1.20929,8.52904e-05,8.52904e-05,8.52904e-05
16,168.977,1.00731,1.70692,1.23267,0.57738,0.63859,0.64074,0.48094,0.9268,1.28518,1.1907,8.2954e-05,8.2954e-05,8.2954e-05
17,180.158,0.99048,1.63088,1.24017,0.56004,0.66572,0.6462,0.4956,0.90504,1.23566,1.17421,8.06176e-05,8.06176e-05,8.06176e-05
18,187.714,0.96163,1.60256,1.20699,0.62661,0.62277,0.68259,0.53104,0.85403,1.17854,1.14068,7.82812e-05,7.82812e-05,7.82812e-05
19,198.188,0.98287,1.55359,1.2006,0.61573,0.60623,0.67765,0.5286,0.84455,1.18731,1.12926,7.59448e-05,7.59448e-05,7.59448e-05
20,209.275,0.91873,1.49399,1.16742,0.67161,0.63173,0.7092,0.55698,0.82874,1.13285,1.13081,7.36084e-05,7.36084e-05,7.36084e-05
21,219.259,0.93515,1.51802,1.20551,0.62936,0.70255,0.72798,0.55954,0.83602,1.11835,1.13819,7.1272e-05,7.1272e-05,7.1272e-05
22,227.626,0.87606,1.43376,1.17523,0.62433,0.72521,0.75874,0.58349,0.80635,1.08397,1.11129,6.89356e-05,6.89356e-05,6.89356e-05
23,236.787,0.87309,1.4011,1.15897,0.63272,0.69972,0.76513,0.5999,0.78514,1.07371,1.08122,6.65992e-05,6.65992e-05,6.65992e-05
24,245.333,0.89488,1.41547,1.17465,0.6584,0.73654,0.81057,0.65014,0.78897,0.99542,1.08175,6.42628e-05,6.42628e-05,6.42628e-05
25,254.33,0.89897,1.34612,1.16162,0.76072,0.66289,0.81185,0.65087,0.81842,0.96054,1.09823,6.19264e-05,6.19264e-05,6.19264e-05
26,263.163,0.82826,1.29752,1.13385,0.80788,0.67989,0.83849,0.68212,0.74322,0.934,1.05991,5.959e-05,5.959e-05,5.959e-05
27,271.438,0.88073,1.32092,1.14832,0.76407,0.75229,0.86221,0.71429,0.71398,0.86406,1.02771,5.72536e-05,5.72536e-05,5.72536e-05
28,281.346,0.8918,1.32567,1.15465,0.84593,0.71548,0.86767,0.72082,0.719,0.85235,1.01576,5.49172e-05,5.49172e-05,5.49172e-05
29,289.212,0.81315,1.27074,1.11797,0.80227,0.72805,0.86609,0.72443,0.6917,0.84292,1.00962,5.25808e-05,5.25808e-05,5.25808e-05
30,299.557,0.83208,1.22284,1.11777,0.79296,0.77904,0.87859,0.74331,0.66821,0.80762,1.0061,5.02444e-05,5.02444e-05,5.02444e-05
31,307.207,0.82376,1.20538,1.12924,0.79888,0.78187,0.87728,0.73367,0.67782,0.78974,1.00774,4.7908e-05,4.7908e-05,4.7908e-05
32,317.758,0.80939,1.19547,1.12299,0.85724,0.73938,0.88345,0.73464,0.709,0.78975,1.01287,4.55716e-05,4.55716e-05,4.55716e-05
33,325.094,0.79385,1.1812,1.11172,0.88584,0.74221,0.89478,0.74486,0.69874,0.78976,1.01294,4.32352e-05,4.32352e-05,4.32352e-05
34,334.688,0.83017,1.12199,1.12058,0.88889,0.74791,0.90817,0.75419,0.67254,0.74852,0.99875,4.08988e-05,4.08988e-05,4.08988e-05
35,342.819,0.76171,1.14633,1.09915,0.84543,0.8102,0.91704,0.76512,0.65534,0.717,0.99071,3.85624e-05,3.85624e-05,3.85624e-05
36,352.069,0.79527,1.13363,1.10595,0.86447,0.8102,0.92494,0.77493,0.6501,0.70396,0.98838,3.6226e-05,3.6226e-05,3.6226e-05
37,360.859,0.77842,1.10566,1.10542,0.85776,0.83706,0.93225,0.78709,0.63443,0.67965,0.9891,3.38896e-05,3.38896e-05,3.38896e-05
38,369.179,0.77211,1.05671,1.09419,0.87072,0.8395,0.9365,0.79311,0.63006,0.66322,0.97811,3.15532e-05,3.15532e-05,3.15532e-05
39,379.66,0.765,1.08181,1.09421,0.86249,0.87252,0.93964,0.79498,0.62764,0.66333,0.97082,2.92168e-05,2.92168e-05,2.92168e-05
40,387.345,0.79292,1.07467,1.09401,0.89838,0.85154,0.9436,0.80137,0.61785,0.66361,0.96446,2.68804e-05,2.68804e-05,2.68804e-05
41,400.417,0.76594,1.39718,1.14985,0.87174,0.86119,0.94268,0.80155,0.61644,0.66653,0.96689,2.4544e-05,2.4544e-05,2.4544e-05
42,408.823,0.78243,1.29742,1.12373,0.87705,0.8285,0.92769,0.78667,0.63878,0.69918,0.96996,2.22076e-05,2.22076e-05,2.22076e-05
43,418.598,0.72856,1.18422,1.07837,0.86102,0.82484,0.92018,0.77775,0.64094,0.71572,0.96899,1.98712e-05,1.98712e-05,1.98712e-05
44,426.12,0.73719,1.20427,1.1011,0.87834,0.8017,0.91621,0.77646,0.62806,0.71537,0.96308,1.75348e-05,1.75348e-05,1.75348e-05
45,436.678,0.68773,1.12297,1.08656,0.87626,0.80241,0.92057,0.78485,0.62209,0.69958,0.96108,1.51984e-05,1.51984e-05,1.51984e-05
46,444.196,0.70926,1.12438,1.08385,0.87582,0.82153,0.9227,0.78663,0.62079,0.6944,0.96249,1.2862e-05,1.2862e-05,1.2862e-05
47,453.627,0.71941,1.10821,1.09367,0.89658,0.83504,0.93166,0.79336,0.61836,0.67742,0.95995,1.05256e-05,1.05256e-05,1.05256e-05
48,461.83,0.67851,1.06844,1.07137,0.91117,0.84136,0.94001,0.80611,0.60856,0.65335,0.95389,8.1892e-06,8.1892e-06,8.1892e-06
49,470.402,0.70546,1.08909,1.07207,0.91083,0.83853,0.94351,0.80856,0.60641,0.64258,0.95339,5.8528e-06,5.8528e-06,5.8528e-06
50,479.469,0.71063,1.10883,1.08449,0.91234,0.8255,0.94523,0.81113,0.59983,0.63497,0.95041,3.5164e-06,3.5164e-06,3.5164e-06
